address,name,symbol,current_mcap,liquidity,Authority,supply,holders,updateAuthority,twitter_solscan,telegram_solscan,image_solscan,website_solscan,owner_sol_balance,BURN STATUS,liquidityPool_tx,transferedSolanaToLp,transfered_tokens_to_lp,launch Market Capitalization
AGkTgxdp5WKmsockoHDeKrytV6DUEZthQ3ju9SSwgh6H,Cook Cat,COOKCAT,12268,25.9494 SOL,False,1000000000.0,45,FTUrDgVep2bP7TpFACAnD2x3G1vjcxnb9Mnrg7gxNQAN,True,True,True,True,3.489485747,NO BURNT,2Hc7yuFGzY1HMbGaeRLPfbXm5mF3tiUB5kC5J1Vxv5wsoG2VCDpgBczKg9ym7Sb7JuEsAYZdHjhCGNDm8UN3rp6Z,10.8,95.0%,2114.0715789473684
HMeDeZmJNy36KyX3Q38yqwthtqEXwhyo7og9LAFXAjKS,Microplastics found inside,TESTICLES,9120,15.6339 SOL,False,1000000000.0,50,7kNaxUhsXsiYms72CzqVitcPF6FqFzRkDqVMHQrweN4C,True,False,True,False,30.6373826,NO BURNT,2RPzifaM7CcUnhmmm6eTLFNMggAZifyh5CedswZqq9Afi9aERcG1PgTcwX37W39oCJKUuK6cMmmjkDVPrWa3pVFP,5.0,100.0%,931.9499999999999
2NCkM4Nzx7u9tngqhGHoRGb6BP5XjH3g7U1Fi5gupthQ,KOT,KOT,23949,27.764 SOL,False,1000000000.0,125,CN3wxFW6zBkyM11sJpM7uu9ehRCQTL6uwQ1dBEFeAV6B,True,True,True,True,318.114332414,NO BURNT,2Bgq823Px5EJqCgWM9u1YEojVAEcRRJkRwRxgkzMF2DTdghaSS6E8gZKELHjKZsa8qg5Q24MgRmQAdZNmPszFumy,6.0,100.0%,1115.6399999999999
BoQGUGHJt7BvgGLrvLEu5ZisMCQu3ZZnwkmHC469ZZLw,Charles Montgomery Burns ,BURNS,45986,35.4328 SOL,False,100000000.0,67,Ctbfokd7n88YJXNGRkPpQ1T8g4MAVP6nmXw9Zza8FQtX,True,True,True,True,3.469795144,NO BURNT,rhKHaar3a5fiRGsvaqeHVKVXumeYZySkwqmY1LzxGQNDYDHDaRH4SJhqrRDkacir7iJxTxMLsdUkqi1ifqkKcW8,5.0,100.0%,931.0000000000001
6HyBVsSM6Prm19YDZnu9kuu4PFXAhXou5j1ZTbAXrQVj,WIFSHIB,WIFSHIB,11735,35.4767 SOL,False,10000000000.0,76,Ae1QcMe165JdrZhCJE4kYCPbbmgx2B33hgWGBWmxdbYn,False,False,True,False,71.51581117,NO BURNT,2v4yMqtXkppusS5oE2joZkLRbs6eqC7a78vnpefho9HptDMKpJtxKRatisxdkrUaDtDZLSjoyiGNNB2U6k65MXEP,20.0,100.0%,3719.2000000000003
2Hc61b1QXgWtzWRN9941npQGjLniGW75ddZ7RHVk9p61,CatBob Squarepants,CATBOB,16227,20.9196 SOL,False,10000000.0,85,CUpc91RSghZ3q6dhfFWP8L6cMZwTuNL6UKEG3HnHhHf3,True,True,True,True,6.197604071,LIQUIDITY BURNT,4EaqA1bNGAaEmTDvFZV35n6VXgnnTrck1UUSSUbPw1ex8XAgp89RU9qvqYiP8hXHbksjXHDt6cVJHXL1ry872dGi,5.0,100.0%,929.1999999999999
HCDkzdNkSD47Fcq1jkxnhezYRpqQvZtRhsX9CrC7UWCa,Americat Express,AMEX,11863,25.6483 SOL,False,1000000000.0,52,HrhwVKAvDkfiCs8PHBNPbuQxAeAWmwgYko2hGSMyEgkm,True,True,True,True,3.488378803,NO BURNT,57GXGEQJg8cooDCXBYJTLHPsztAUGzLqfyhuw7JbB2XLhnzzWFrryBBbKULXDzmatKMcBH14bn1aryfocnz2sjpw,10.8,95.0%,2133.2842105263157
FRxQDbDCWTWVmTnNjVDguzN4pWjPmodztveLkfk2V1YF,UUtopia TokenZ,UXUTPZ,7052,14.7255 SOL,False,1000000000.0,59,DKomtRzT4oD5JPcoipp4smWGeosvjbrnTr8DKiTWtiRP,True,True,True,False,0.24312006,NO BURNT,5cVBu74TgKKGqA8USfeksT3jSAFJsPoKeFh2SWG6wm3UvkkrR5Huca3ms1YkWEAZcHLLUA7FwDmgzz5WwdGjuUPR,5.0,100.0%,940.15
address,name,symbol,current_mcap,liquidity,Authority,supply,holders,updateAuthority,twitter_solscan,telegram_solscan,image_solscan,website_solscan,owner_sol_balance,BURN STATUS,liquidityPool_tx,transferedSolanaToLp,transfered_tokens_to_lp,launch Market Capitalization
address,name,symbol,current_mcap,liquidity,Authority,supply,holders,updateAuthority,twitter_solscan,telegram_solscan,image_solscan,website_solscan,owner_sol_balance,BURN STATUS,liquidityPool_tx,transferedSolanaToLp,transfered_tokens_to_lp,launch Market Capitalization
